,DATE,LEVEL,PRESS,RAIN,TEMP,WDIR,WSPEED
303,2020-01-13 15:00:00,-8.0,1026.7,0.0,7.3,233.0,1.4
304,2020-01-13 16:00:00,-28.0,1026.1,0.0,6.9,218.0,1.5
305,2020-01-13 17:00:00,-42.0,1025.9,0.0,6.3,239.0,3.4
306,2020-01-13 18:00:00,-45.0,1026.2,0.0,6.5,252.0,2.8
307,2020-01-13 19:00:00,-38.0,1026.3,0.0,6.5,249.0,2.2
308,2020-01-13 20:00:00,-20.0,1026.3,0.0,6.4,235.0,2.5
309,2020-01-13 21:00:00,3.0,1026.2,0.0,5.9,228.0,3.1
310,2020-01-13 22:00:00,26.0,1026.2,0.0,5.3,254.0,4.4
311,2020-01-13 23:00:00,45.0,1026.4,0.0,4.6,253.0,4.0
312,2020-01-14 00:00:00,55.0,1026.0,0.0,4.6,235.0,2.7
313,2020-01-14 01:00:00,58.0,1026.0,0.0,4.7,255.0,3.3
314,2020-01-14 02:00:00,54.0,1026.3,0.0,3.8,252.0,2.8
315,2020-01-14 03:00:00,41.0,1026.6,0.0,2.9,237.0,2.9
316,2020-01-14 04:00:00,29.0,1026.3,0.0,2.1,253.0,3.3
317,2020-01-14 05:00:00,17.0,1026.4,0.0,1.9,268.0,3.3
318,2020-01-14 06:00:00,11.0,1026.4,0.0,2.5,275.0,2.0
319,2020-01-14 07:00:00,10.0,1026.9,0.0,2.6,257.0,2.9
320,2020-01-14 08:00:00,17.0,1027.0,0.0,2.9,283.0,2.9
321,2020-01-14 09:00:00,27.0,1027.5,0.0,2.9,266.0,2.2
322,2020-01-14 10:00:00,37.0,1028.0,0.0,3.9,259.0,2.5
323,2020-01-14 11:00:00,44.0,1028.1,0.0,4.3,326.0,1.4
324,2020-01-14 12:00:00,43.0,1027.7,0.0,4.2,258.0,2.3
325,2020-01-14 13:00:00,36.0,1027.1,0.0,5.0,271.0,1.8
326,2020-01-14 14:00:00,22.0,1026.8,0.0,5.3,265.0,0.9
327,2020-01-14 15:00:00,4.0,1026.5,0.0,5.1,223.0,1.3
328,2020-01-14 16:00:00,-16.0,1027.3,0.0,5.1,279.0,1.2
329,2020-01-14 17:00:00,-32.0,1027.5,0.0,5.2,258.0,1.3
330,2020-01-14 18:00:00,-37.0,1028.1,0.0,5.5,289.0,1.4
331,2020-01-14 19:00:00,-36.0,1028.6,0.0,6.2,332.0,1.2
332,2020-01-14 20:00:00,-25.0,1029.0,0.0,5.7,249.0,2.8
333,2020-01-14 21:00:00,-8.0,1029.1,0.0,5.8,261.0,2.7
